fit 106 | relfit 10.6 | nants: 10 | use-phermn #t | drop-amt 3 | decay-amt 3
fit 35 | relfit 3.5 | nants: 10 | use-phermn #f | drop-amt 3 | decay-amt 3
fit 98 | relfit 9.8 | nants: 10 | use-phermn #t | drop-amt 3 | decay-amt 5
fit 31 | relfit 3.1 | nants: 10 | use-phermn #f | drop-amt 3 | decay-amt 5
fit 108 | relfit 10.8 | nants: 10 | use-phermn #t | drop-amt 3 | decay-amt 7
fit 44 | relfit 4.4 | nants: 10 | use-phermn #f | drop-amt 3 | decay-amt 7
fit 72 | relfit 7.2 | nants: 10 | use-phermn #t | drop-amt 3 | decay-amt 9
fit 58 | relfit 5.8 | nants: 10 | use-phermn #f | drop-amt 3 | decay-amt 9
fit 86 | relfit 8.6 | nants: 10 | use-phermn #t | drop-amt 3 | decay-amt 11
fit 44 | relfit 4.4 | nants: 10 | use-phermn #f | drop-amt 3 | decay-amt 11
fit 109 | relfit 10.9 | nants: 10 | use-phermn #t | drop-amt 5 | decay-amt 3
fit 54 | relfit 5.4 | nants: 10 | use-phermn #f | drop-amt 5 | decay-amt 3
fit 113 | relfit 11.3 | nants: 10 | use-phermn #t | drop-amt 5 | decay-amt 5
fit 40 | relfit 4.0 | nants: 10 | use-phermn #f | drop-amt 5 | decay-amt 5
fit 107 | relfit 10.7 | nants: 10 | use-phermn #t | drop-amt 5 | decay-amt 7
fit 41 | relfit 4.1 | nants: 10 | use-phermn #f | drop-amt 5 | decay-amt 7
fit 75 | relfit 7.5 | nants: 10 | use-phermn #t | drop-amt 5 | decay-amt 9
fit 46 | relfit 4.6 | nants: 10 | use-phermn #f | drop-amt 5 | decay-amt 9
fit 65 | relfit 6.5 | nants: 10 | use-phermn #t | drop-amt 5 | decay-amt 11
fit 29 | relfit 2.9 | nants: 10 | use-phermn #f | drop-amt 5 | decay-amt 11
fit 116 | relfit 11.6 | nants: 10 | use-phermn #t | drop-amt 7 | decay-amt 3
fit 31 | relfit 3.1 | nants: 10 | use-phermn #f | drop-amt 7 | decay-amt 3
fit 146 | relfit 14.6 | nants: 10 | use-phermn #t | drop-amt 7 | decay-amt 5
fit 48 | relfit 4.8 | nants: 10 | use-phermn #f | drop-amt 7 | decay-amt 5
fit 117 | relfit 11.7 | nants: 10 | use-phermn #t | drop-amt 7 | decay-amt 7
fit 47 | relfit 4.7 | nants: 10 | use-phermn #f | drop-amt 7 | decay-amt 7
fit 106 | relfit 10.6 | nants: 10 | use-phermn #t | drop-amt 7 | decay-amt 9
